image,name,price,supermarket_name,category
https://metroio.vtexassets.com/arquivos/ids/244579-144-144?v=638173936273700000&width=144&height=144&aspect=true,Desenredante de Cabello Gotas de Brillo Johnson's Baby Spray 200 ml ,S/ 19.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/512380-144-144?v=638430214720970000&width=144&height=144&aspect=true,Cereal Infantil en Polvo Nestum 5 Cereales 350g ,S/ 19.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/496214-144-144?v=638343599517000000&width=144&height=144&aspect=true,Toallitas Húmedas Pequeñín Multi Cuidado 80un ,S/ 6.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461109-144-144?v=638285929811200000&width=144&height=144&aspect=true,Shampoo para Bebé Johnson's Original 1L ,S/ 43.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494513-144-144?v=638338527721530000&width=144&height=144&aspect=true,DINOSAURIO RC MOD2 ,S/ 55.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/366170-144-144?v=638180585091300000&width=144&height=144&aspect=true,Pañal para Bebé Babysec Voy Solito Talla XG/XXG Paquete 18un ,S/ 36.20 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/383426-144-144?v=638180594879100000&width=144&height=144&aspect=true,Pañales para Bebé Active Sec Recién Nacido Paquete 60 unid ,S/ 35.70 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/474635-144-144?v=638315669373700000&width=144&height=144&aspect=true,Andador Moby 3106 Azul ,S/ 55.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461128-144-144?v=638285930405530000&width=144&height=144&aspect=true,Acondicionador Gotitas de Brillo Johnson's Baby Frasco 400 ml ,S/ 27.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/395500-144-144?v=638180784014130000&width=144&height=144&aspect=true,Pañales para Bebé Zeukid Baby Care Talla XG 48un ,S/ 42.10 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/449792-144-144?v=638285053799300000&width=144&height=144&aspect=true,Jabón en Barra Huggies Extra Suave 75g ,S/ 2.73 ,metro,Cuidado del Bebe
