image,product_brand,name,price,supermarket_name,category
https://plazavea.vteximg.com.br/arquivos/ids/7732181-184-184/20063432.jpg?v=637825515678300000,BELL'S,Enrollado de Pollo BELL'S con Jamón Queso Toci...,S/ 39.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518433-184-184/20087569.jpg?v=637417675888970000,PLAZA VEA,Bondiola de Cerdo,S/ 33.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363428-184-184/94789.jpg?v=638276833321870000,EL BUEN CORTE,Bife Angosto de Res EL BUEN CORTE,S/ 47.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588263-184-184/20220322.jpg?v=637562941285030000,SAN FERNANDO,Pierna con Encuentro de Pollo Empacada al vací...,S/ 13.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/386001-184-184/20197698.jpg?v=637333904601300000,SADIA,Alitas de Pollo SADIA Bolsa 1Kg,S/ 11.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/623236-184-184/20066165.jpg?v=637442719688100000,PLAZA VEA,Corazón de Res,S/ 11.99 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/12368377-184-184/20280857.jpg?v=637902724059900000,REDONDOS,Medallón de Lomo REDONDOS Duroc x kg,S/ 39.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/329371-184-184/20073718.jpg?v=637261138500030000,OREGON FOODS,Baby Back Ribs de Cerdo Importado,S/ 46.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/2209485-184-184/20208187.jpg?v=637638671910930000,SAN FERNANDO,Chuleta de Pavita SAN FERNANDO Congelado,S/ 25.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363560-184-184/20220311.jpg?v=638276836703530000,SAN FERNANDO,Filete Pierna Pollo con Piel Empacada al vacío...,S/ 20.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/646197-184-184/20047291.jpg?v=637443519895370000,PLAZA VEA,Filete de Tilapia Importado,S/ 19.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363430-184-184/94788.jpg?v=638276833370470000,EL BUEN CORTE,Lomo Fino de Res EL BUEN CORTE,S/ 74.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/28324482-184-184/79471.jpg?v=638355552299600000,SAN FERNANDO,Enrollado de Pollo SAN FERNANDO Americano unid...,S/ 40.30 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/446713-184-184/20062438.jpg?v=637390604159170000,PLAZA VEA,Filete de Basa,S/ 15.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/28324481-184-184/79559.jpg?v=638355548948430000,SAN FERNANDO,Enrollado de Pollo SAN FERNANDO Delizia unid x...,S/ 40.30 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/28331814-184-184/20170185.jpg?v=638356511293000000,SAN FERNANDO,Medio Pavo SAN FERNANDO,S/ 16.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/6598314-184-184/20112255.jpg?v=637802043337900000,LAS NORAS,Bife Angosto LAS NORAS,S/ 94.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588240-184-184/20220310.jpg?v=637562936430800000,SAN FERNANDO,Pechuga Especial de Pollo Empacada al vacío SA...,S/ 16.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/14208132-184-184/20213339.jpg?v=637939054400230000,SADIA,Piernitas de Pollo Congeladas SADIA Bolsa 1Kg,S/ 10.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363522-184-184/20168640.jpg?v=638276835897800000,EL BUEN CORTE,Carne Molida Light de Res Empacada al vacío EL...,S/ 34.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/16381014-184-184/20121040.jpg?v=637970148288030000,PLAZA VEA,Carne Molida de Pavita x500g,S/ 11.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/429351-184-184/127200.jpg?v=637382269277830000,REDONDOS,Sangrecita de Pollo REDONDOS Bolsa 500g,S/ 5.50 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/222172-184-184/20018645.jpg?v=636966611656930000,PLAZA VEA,Pollo Fresco con Menudencia Trozado en 8 Pieza...,S/ 10.40 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27474873-184-184/20148783.jpg?v=638296704396300000,PERDIX,Pollo Entero Congelado PERDIX Bolsa 1400g,S/ 13.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/25707965-184-184/20215621.jpg?v=638121862497130000,SAN FERNANDO,Pierna de Pollo Congelado SAN FERNANDO x kg,S/ 13.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/25707964-184-184/20193757.jpg?v=638121862029200000,SAN FERNANDO,Pechuga de Pollo con Alas Congelado SAN FERNAN...,S/ 13.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588256-184-184/20220320.jpg?v=637562940046270000,SAN FERNANDO,Sasami de Pollo Empacada al vacío SAN FERNANDO,S/ 24.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1874912-184-184/20220312.jpg?v=637588662149500000,SAN FERNANDO,Hígado de pollo Empacada al vacío SAN FERNANDO,S/ 8.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1874910-184-184/20220323.jpg?v=637588662110070000,SAN FERNANDO,Patas de Pollo Empacada al vacío SAN FERNANDO,S/ 7.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588232-184-184/20220315.jpg?v=637562935015600000,SAN FERNANDO,Pierna de Pollo Empacada al vacío SAN FERNANDO,S/ 15.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/16381016-184-184/980287.jpg?v=637970148348000000,PLAZA VEA,Chuleta de Pierna de Cerdo sin Piel,S/ 19.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363566-184-184/20328449.jpg?v=638276836943000000,FRIGON,Picaña FRIGON x kg,S/ 59.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/26975559-184-184/20257343.jpg?v=638247756077670000,PESCANOVA,Porciones de Bonito con Piel PESCANOVA Bolsa 5...,S/ 10.50 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/13638865-184-184/20281156.jpg?v=637928643179170000,LA COLONIA,Carne Molida Especial de Res LA COLONIA x kg,S/ 28.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588258-184-184/20220327.jpg?v=637562940392600000,SAN FERNANDO,Filete Pierna Pollo Sin Piel Empacada al vacío...,S/ 22.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588252-184-184/20220309.jpg?v=637562939120500000,SAN FERNANDO,Molleja de Pollo Empacada al vacío SAN FERNAND...,S/ 13.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1874908-184-184/20220317.jpg?v=637588662030900000,SAN FERNANDO,Corazón de Pollo Empacada al vacío SAN FERNAND...,S/ 12.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588238-184-184/20220326.jpg?v=637562936122700000,SAN FERNANDO,Ala de Pollo Empacada al vacío SAN FERNANDO,S/ 14.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518429-184-184/20102610.jpg?v=637417675767200000,PLAZA VEA,Mondongo Italiano,S/ 12.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518443-184-184/966797.jpg?v=637417676194970000,PLAZA VEA,Chuleta de Lomo de Cerdo con Piel,S/ 22.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363474-184-184/20123113.jpg?v=638276834561200000,EL BUEN CORTE,Bife de Lomo de Cerdo EL BUEN CORTE,S/ 28.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/658438-184-184/73967.jpg?v=637455458828230000,EL BUEN CORTE,Osobuco de Res,S/ 25.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/168072-184-184/20078779.jpg?v=635769947649100000,BELL'S,Porciones de Perico BELL'S Bolsa 500g,S/ 24.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518411-184-184/20080149.jpg?v=637417675180400000,PLAZA VEA,Chanfainita de Res,S/ 11.90 x kg,plazavea,"Carnes, aves y pescados"
